5453,-5,1-0,2n1k2r/p4p2/4p1pp/4P1q1/3R3P/B7/5PP1/3R2K1 b k h3 0 29
5499,-6,1-0,2rr1k1R/R7/5N1p/3P3P/1pn3P1/P7/KPq5/8 b - - 6 40
5585,-4,1-0,r1b1rb2/1p3kpp/3p4/p4P2/P7/8/QB1q2PP/R1R4K b - - 1 23
5591,-4,1-0,r3qrk1/p1p2p1p/1p1p1Bn1/5PQ1/1PP5/7P/P1P3P1/3R2K1 b - - 2 21
5594,-5,1-0,2rk1b1r/pqpR3p/4PN1p/8/8/P7/1PP4P/1K4NR b - - 0 21
5749,5,0-1,1r3rk1/1pp1Q1pp/p7/2P2p2/3P1n2/1NN2q2/PP3B1P/4RRK1 w - - 1 23
5781,-4,1-0,4k3/1P6/4r3/1Kp5/8/1P6/8/8 b - - 1 76
5785,-4,1-0,1r4k1/5pb1/b1q4p/p1pR1Q2/8/1P4BP/P1B2PPK/4r3 b - - 2 26
5886,5,0-1,3R4/4r1pk/N1p3p1/8/2PB4/1P2p2p/P4q1P/1Q5K w - - 0 44
5896,-5,1-0,7k/bp1q1r1p/p1p4p/4Q3/5p2/2P2BrP/PP3PP1/3R2K1 b - - 0 28
6385,-4,1-0,6k1/5Q1p/3p2p1/1P2p3/4P2q/1BP4n/1P3Pr1/7K b - - 0 38
6590,-4,1-0,6r1/p6b/2R5/kP1N2pP/3Pp3/5q2/KR6/8 b - - 2 39
6602,-7,1-0,2r3k1/3Q2p1/p4q2/1p6/5p2/P1r2R2/1P6/2K5 w - - 0 46
6708,5,0-1,5k2/5p1p/p1R3p1/3rn3/1p1N4/4P3/P4PPP/5RK1 w - - 1 28
6915,-6,1-0,1q5r/2R5/1r2pkp1/pP1pPp1p/5P2/1P4PP/6K1/2R2B2 b - - 0 53
7068,4,0-1,r6r/P3bpk1/2N3p1/2Pp3q/3PpP2/5pP1/5P2/RR2BQK1 w - - 1 36
7198,-4,1-0,rn1R3r/ppq1k1p1/2p1P3/6Q1/P7/7P/1p3P2/5RK1 b - - 4 22
7354,-4,1-0,Rk1r4/2r2p2/1p3n1p/6p1/3P4/3P2P1/5PBP/6K1 b - - 1 30
7421,-4,1-0,8/2k2P2/8/3p4/8/2r5/6PK/8 b - - 0 62
7500,-4,1-0,8/PP3k2/5p2/5Kp1/8/7P/1r6/8 b - - 0 53
7728,-4,1-0,6k1/1pr2pQ1/pn3P2/7p/7q/1P4p1/P5P1/3R2K1 b - - 3 37
7732,-4,1-0,1r5k/1b5Q/2p1p3/1p6/3PB3/2q3P1/5PKP/8 b - - 0 32
7793,-6,1-0,rn1kr3/pb3R2/2p1pQ2/1p2N3/2pP1KBP/1q6/1P4P1/8 b - - 5 24
7892,-5,1-0,3r4/Pb4p1/1Pk3p1/8/5p2/2R4P/5PPK/1R1q4 b - - 0 38
7967,6,0-1,8/R1pr2k1/1p3R2/1q6/4p3/2Q1P3/4KPp1/3N4 w - - 0 46
8205,-4,1-0,rnk4r/p3pP1p/4N3/2Q5/Pp2p3/2b5/1q3PP1/3R1K1R b - - 1 21
8373,4,0-1,8/6pk/p2p2pq/Pp1P4/1N5Q/2B3Pp/1P3p1P/7K w - - 3 43
8375,4,0-1,6k1/3R2pp/4p3/4P2P/1pQ2b1q/8/1P4B1/7K w - - 4 48
8414,4,0-1,8/p4Qpk/7p/1p6/3P3P/P4PPb/1P2q3/2R3K1 w - - 1 31
8514,-5,1-0,8/2P2q1p/p5p1/1p2p1k1/4N3/6P1/P3PPKP/8 b - - 1 43
8636,6,0-1,8/3R4/1kp3B1/3p2K1/5PP1/8/pp6/8 w - - 2 66
9097,-6,1-0,r1bR1q2/1p3pk1/p1p2P2/4r3/4B3/8/P1Q3P1/7K b - - 0 33
9158,-4,1-0,r3r2k/ppbqnQpp/5B2/6N1/4p3/1P2P2P/P4PP1/5RK1 b - - 0 22
9245,-4,1-0,5k2/1r1r2PQ/3p1b2/p1pPpqP1/2P4R/1P3pP1/P3nK2/7R b - - 0 46
