CPScore,HigherPlayerWinPercentage,HigherPlayerWins,HigherPlayerLosses
188,1.0,2,0
393,0.5,1,1
2091,1.0,1,0
1701,1.0,2,0
16,0.3333333333333333,1,2
750,0.0,0,1
1077,1.0,1,0
-212,0.0,0,1
354,1.0,1,0
541,0.0,0,1
1030,0.0,0,1
-1190,0.0,0,1
642,0.0,0,1
629,0.0,0,1
-53,0.0,0,1
-1068,0.0,0,1
-573,0.0,0,1
287,0.5,1,1
1817,0.0,0,1
-265,0.0,0,1
849,1.0,2,0
-418,1.0,1,0
-845,0.0,0,1
736,1.0,1,0
949,1.0,1,0
-11615,0.0,0,1
-538,0.5,1,1
515,1.0,1,0
147,0.5,1,1
138,0.0,0,1
-20,0.6666666666666666,2,1
1467,1.0,1,0
-132,0.0,0,1
2289,0.0,0,1
-3177,0.0,0,1
-1078,0.0,0,1
-2134,0.0,0,1
273,1.0,1,0
469,0.0,0,1
86,1.0,3,0
-638,1.0,1,0
1110,0.0,0,1
-407,0.0,0,1
2219,0.0,0,1
358,1.0,3,0
285,1.0,1,0
-423,0.0,0,1
-498,0.5,1,1
-46,0.25,1,3
-680,1.0,1,0
-321,0.0,0,1
-642,1.0,1,0
-89,1.0,1,0
1657,1.0,1,0
233,1.0,1,0
-3548,1.0,1,0
-696,1.0,1,0
-634,0.0,0,1
243,0.0,0,1
794,0.0,0,1
868,0.0,0,1
135,0.5,1,1
-1040,0.0,0,1
-374,0.0,0,1
620,1.0,1,0
-450,1.0,1,0
-166,0.0,0,1
616,1.0,1,0
-317,0.0,0,1
2201,1.0,1,0
482,1.0,2,0
-2996,0.0,0,1
1176,0.0,0,1
435,0.5,1,1
-343,1.0,1,0
-200,0.5,1,1
668,1.0,1,0
1141,0.0,0,1
-12624,1.0,1,0
-197,0.0,0,2
477,0.0,0,1
-792,1.0,1,0
-128,0.0,0,2
-261,0.0,0,1
-715,0.0,0,1
-469,0.0,0,1
1336,1.0,1,0
-31989,1.0,1,0
-125,0.0,0,1
-690,1.0,1,0
12896,1.0,1,0
190,0.3333333333333333,1,2
643,0.5,1,1
803,0.0,0,1
-235,1.0,1,0
494,0.0,0,1
-186,0.0,0,1
289,0.0,0,1
-904,0.0,0,1
-1719,0.0,0,1
1193,0.0,0,1
-176,0.0,0,1
-5229,1.0,1,0
941,0.0,0,1
-1223,0.0,0,1
900,1.0,1,0
31978,1.0,1,0
161,1.0,1,0
493,1.0,1,0
-140,0.0,0,1
193,1.0,1,0
-975,0.0,0,1
-108,1.0,1,0
-133,0.0,0,1
-310,1.0,1,0
500,1.0,1,0
-387,1.0,1,0
182,1.0,1,0
-287,0.0,0,1
-609,0.0,0,1
507,1.0,1,0
327,0.0,0,1
2031,0.0,0,1
79,1.0,1,0
-192,1.0,1,0
-726,1.0,1,0
383,1.0,1,0
1720,1.0,1,0
-1329,0.0,0,1
624,1.0,1,0
-1019,0.0,0,1
-417,1.0,1,0
261,0.6666666666666666,2,1
-1514,0.0,0,1
599,0.0,0,1
2990,0.0,0,1
246,0.5,1,1
1126,1.0,1,0
925,0.0,0,1
473,0.0,0,1
1822,0.0,0,1
763,1.0,1,0
839,0.0,0,1
-103,0.0,0,1
-267,1.0,1,0
1211,0.0,0,1
-328,1.0,1,0
-513,0.0,0,1
15154,1.0,1,0
-682,0.0,0,1
-984,0.0,0,1
550,1.0,1,0
13164,1.0,1,0
-123,1.0,1,0
1413,1.0,1,0
470,1.0,1,0
-442,1.0,1,0
1178,1.0,1,0
306,0.0,0,1
-355,0.0,0,1
-315,0.0,0,1
440,0.0,0,1
-636,0.0,0,1
434,1.0,1,0
-322,0.0,0,1
340,1.0,1,0
3295,0.0,0,1
698,0.0,0,1
-180,1.0,1,0
1037,1.0,1,0
296,0.0,0,1
402,1.0,1,0
-832,0.0,0,1
2051,1.0,1,0
326,1.0,1,0
728,0.0,0,1
-286,1.0,1,0
826,1.0,1,0
323,1.0,1,0
-393,1.0,1,0
-319,0.0,0,1
-664,0.0,0,1
2504,0.0,0,1
1400,1.0,1,0
-31993,1.0,1,0
2746,1.0,1,0
-93,1.0,1,0
4338,1.0,1,0
1715,0.0,0,1
302,0.0,0,2
300,1.0,1,0
259,0.5,1,1
727,0.0,0,1
-282,1.0,1,0
-228,0.0,0,1
1321,0.0,0,1
934,1.0,1,0
-213,1.0,1,0
-877,0.0,0,1
-31991,1.0,1,0
858,1.0,1,0
-357,0.0,0,1
867,0.0,0,1
397,1.0,1,0
2357,1.0,1,0
1419,1.0,1,0
-939,1.0,1,0
-1374,0.0,0,1
1418,1.0,1,0
-929,1.0,1,0
31996,0.0,0,1
-292,1.0,1,0
-40,1.0,2,0
-686,1.0,1,0
462,0.0,0,1
234,1.0,1,0
-371,1.0,1,0
551,0.0,0,1
960,0.0,0,1
-517,0.0,0,1
-518,1.0,1,0
384,0.5,1,1
3951,1.0,1,0
-1350,1.0,1,0
1204,1.0,1,0
367,1.0,1,0
336,1.0,1,0
